DOC: 0 -->  0:0.71 9:0.17 11:0.06
DOC: 1 -->  11:0.53 6:0.15 0:0.13
DOC: 2 -->  6:0.3 2:0.26 9:0.19
DOC: 3 -->  9:0.75 7:0.11 3:0.09
DOC: 4 -->  6:0.32 1:0.24 5:0.14
DOC: 5 -->  9:0.24 0:0.2 11:0.17
DOC: 6 -->  9:0.66 11:0.2 1:0.06
DOC: 7 -->  0:0.55 11:0.21 5:0.09
DOC: 8 -->  6:0.5 10:0.17 8:0.15
DOC: 9 -->  6:0.87 8:0.1 9:0.03
DOC: 10 -->  4:0.42 2:0.21 5:0.13
DOC: 11 -->  0:0.61 4:0.38 11:0.0
DOC: 12 -->  0:0.57 3:0.17 2:0.16
DOC: 13 -->  4:0.54 6:0.24 2:0.13
DOC: 14 -->  5:0.68 0:0.27 2:0.03
DOC: 15 -->  0:0.56 9:0.36 1:0.03
DOC: 16 -->  5:0.3 0:0.3 6:0.16
DOC: 17 -->  2:0.54 0:0.44 11:0.0
DOC: 18 -->  4:0.53 8:0.22 10:0.21
DOC: 19 -->  3:0.58 9:0.33 1:0.08
DOC: 20 -->  8:0.41 2:0.32 4:0.22
DOC: 21 -->  1:0.82 0:0.17 11:0.0
DOC: 22 -->  4:0.63 2:0.15 9:0.11
DOC: 23 -->  11:0.37 9:0.29 7:0.17
DOC: 24 -->  11:0.4 9:0.31 2:0.09
DOC: 25 -->  2:0.43 0:0.37 6:0.18
DOC: 26 -->  11:0.64 4:0.34 10:0.0
DOC: 27 -->  4:0.68 10:0.18 9:0.06
DOC: 28 -->  5:0.69 4:0.29 11:0.0
DOC: 29 -->  11:0.71 0:0.14 4:0.12
DOC: 30 -->  4:0.41 9:0.24 2:0.17
DOC: 31 -->  6:0.56 9:0.22 5:0.18
DOC: 32 -->  0:0.77 1:0.12 6:0.08
DOC: 33 -->  11:0.52 9:0.39 10:0.04
DOC: 34 -->  4:0.32 9:0.28 11:0.21
DOC: 35 -->  9:0.43 4:0.33 5:0.08
DOC: 36 -->  3:0.47 1:0.25 0:0.15
DOC: 37 -->  6:0.62 1:0.23 5:0.13
DOC: 38 -->  2:0.52 8:0.29 0:0.09
DOC: 39 -->  10:0.41 1:0.41 11:0.13
DOC: 40 -->  4:0.69 1:0.14 9:0.11
DOC: 41 -->  4:0.49 2:0.47 5:0.03
DOC: 42 -->  6:0.99 11:0.0 10:0.0
DOC: 43 -->  5:0.33 0:0.33 8:0.24
DOC: 44 -->  6:0.49 9:0.35 7:0.08
DOC: 45 -->  9:0.38 0:0.36 1:0.09
DOC: 46 -->  4:0.46 9:0.41 10:0.1
DOC: 47 -->  11:0.36 0:0.26 4:0.19
DOC: 48 -->  5:0.38 3:0.24 8:0.17
DOC: 49 -->  3:0.8 0:0.18 4:0.01
DOC: 50 -->  4:0.39 9:0.27 2:0.23
DOC: 51 -->  5:0.59 0:0.38 2:0.02
DOC: 52 -->  2:0.32 0:0.26 10:0.2
DOC: 53 -->  4:0.43 11:0.32 0:0.08
DOC: 54 -->  10:0.54 0:0.43 7:0.01
DOC: 55 -->  0:0.98 4:0.01 11:0.0
DOC: 56 -->  11:0.35 0:0.24 5:0.2
DOC: 57 -->  0:0.58 8:0.23 9:0.07
DOC: 58 -->  9:0.37 11:0.3 1:0.2
DOC: 59 -->  3:0.32 0:0.23 11:0.18
DOC: 60 -->  9:0.37 2:0.21 8:0.19
DOC: 61 -->  4:0.37 11:0.27 8:0.25
DOC: 62 -->  11:0.38 9:0.36 3:0.24
DOC: 63 -->  0:0.55 4:0.13 2:0.12
DOC: 64 -->  11:0.48 0:0.32 8:0.19
DOC: 65 -->  9:0.62 4:0.16 3:0.16
DOC: 66 -->  5:0.5 3:0.24 8:0.09
DOC: 67 -->  8:0.34 6:0.32 5:0.26
DOC: 68 -->  6:0.86 0:0.06 4:0.05
DOC: 69 -->  6:0.4 4:0.35 2:0.17
DOC: 70 -->  4:0.56 11:0.32 6:0.05
DOC: 71 -->  1:0.66 7:0.17 4:0.16
DOC: 72 -->  4:0.64 0:0.27 11:0.06
DOC: 73 -->  9:0.39 11:0.31 4:0.19
DOC: 74 -->  4:0.42 9:0.25 2:0.14
DOC: 75 -->  3:0.42 4:0.35 0:0.2
DOC: 76 -->  9:0.67 11:0.32 10:0.0
DOC: 77 -->  6:0.95 10:0.02 2:0.02
DOC: 78 -->  9:0.31 5:0.25 8:0.2
DOC: 79 -->  0:0.62 8:0.17 11:0.1
DOC: 80 -->  6:0.31 2:0.25 0:0.21
DOC: 81 -->  4:0.5 11:0.47 6:0.02
DOC: 82 -->  11:0.38 4:0.24 1:0.2
DOC: 83 -->  11:0.47 9:0.25 4:0.22
